3 Hari,Harga/3 hari
360,24333.333333333332
361,28000.0
362,30000.0
363,30000.0
364,30000.0
365,30000.0
366,30000.0
367,28666.666666666668
368,28000.0
369,28000.0
370,28000.0
371,31333.333333333332
372,25666.666666666668
373,26000.0
374,29333.333333333332
375,30000.0
376,33333.333333333336
377,40000.0
378,40000.0
379,36666.666666666664
380,35000.0
381,40000.0
382,42500.0
383,40000.0
384,41333.333333333336
385,42000.0
386,39333.333333333336
387,38000.0
388,40000.0
389,40000.0
390,41666.666666666664
391,45000.0
392,40000.0
393,38333.333333333336
394,36000.0
395,33333.333333333336
396,30000.0
397,30000.0
398,30000.0
399,30000.0
400,30000.0
401,29333.333333333332
402,26000.0
403,25000.0
404,25000.0
405,25000.0
406,25000.0
407,25000.0
408,25000.0
409,25000.0
410,20000.0
411,20000.0
412,20000.0
413,18000.0
414,18000.0
415,18000.0
416,18000.0
417,17333.333333333332
418,17000.0
419,18000.0
420,20000.0
421,20000.0
422,20000.0
423,20000.0
424,23333.333333333332
425,20000.0
426,20000.0
427,18000.0
428,18500.0
429,20000.0
430,20000.0
431,20000.0
432,20000.0
433,20000.0
434,20000.0
435,20000.0
436,21333.333333333332
437,22000.0
438,22000.0
439,22000.0
440,22000.0
441,22000.0
442,27000.0
443,28000.0
444,28000.0
445,28000.0
446,28000.0
447,34000.0
448,35000.0
449,35000.0
450,35000.0
451,35000.0
452,35000.0
453,35000.0
454,32666.666666666668
455,32000.0
456,32000.0
